,title,link,price,cat
0,AAT Access Award In Business Skills,https://www.e-careers.com/courses/aat-access-award-business-skills,£208,business-management
1,Advanced Conflict Management,https://www.e-careers.com/courses/advanced-conflict-management,£75,business-management
2,An Introduction to Conflict Management,https://www.e-careers.com/courses/an-introduction-conflict-management,£75,business-management
3,Introduction to the Principles of GDPR,https://www.e-careers.com/courses/introduction-to-the-principles-of-gdpr,£83,business-management
4,Appraisal Skills - Online Course,https://www.e-careers.com/courses/appraisal-skills-online-course,£75,business-management
5,Assertive Communication Skills Training - Classroom,https://www.e-careers.com/courses/assertive-communication-skills-training-classroom,  From £995,business-management
6,Assertive Communication Skills Training - LiveOnline,https://www.e-careers.com/courses/assertive-communication-skills-training-liveonline,  From £995,business-management
7,Better Business Cases™ Foundation,https://www.e-careers.com/courses/better-business-cases-foundation-course,£250,business-management
8,Building an Effective Business Case Training - Classroom,https://www.e-careers.com/courses/building-an-effective-business-case-training-classroom,  From £995,business-management
9,Building an Effective Business Case Training - LiveOnline,https://www.e-careers.com/courses/building-an-effective-business-case-training-liveonline,  From £995,business-management
10,Business Analysis Foundation Training,https://www.e-careers.com/courses/business-analysis-foundation-training,£250,business-management
11,Communication Skills,https://www.e-careers.com/courses/communication-skills,£75,business-management
12,Communication Skills Training - Classroom,https://www.e-careers.com/courses/communication-skills-training-classroom,  From £995,business-management
13,Communication Skills Training - LiveOnline,https://www.e-careers.com/courses/communication-skills-training-liveonline,  From £995,business-management
14,Critical Thinking and Creative Problem-Solving Training - Classroom,https://www.e-careers.com/courses/critical-thinking-and-creative-problem-solving-training-classroom,"  From £1,595",business-management
15,Critical Thinking and Creative Problem-Solving Training - LiveOnline,https://www.e-careers.com/courses/critical-thinking-and-creative-problem-solving-training-liveonline,"  From £1,595",business-management
16,Influencing Skills Training: Getting Results without Direct Authority - Classroom,https://www.e-careers.com/courses/influencing-skills-training-getting-results-without-direct-authority-classroom,  From £995,business-management
17,Influencing Skills Training: Getting Results without Direct Authority - LiveOnline,https://www.e-careers.com/courses/influencing-skills-training-getting-results-without-direct-authority-liveonline,  From £995,business-management
18,Leading and Managing Virtual Teams - Classroom,https://www.e-careers.com/courses/leading-and-managing-virtual-teams,  From £995,business-management
19,Leading and Managing Virtual Teams - LiveOnline,https://www.e-careers.com/courses/leading-and-managing-virtual-teams-liveonline,  From £995,business-management
20,LEADr Certificate in Commerciality,https://www.e-careers.com/courses/leadr-certificate-commerciality,£188,business-management
21,LEADr Diploma in Commerciality,https://www.e-careers.com/courses/leadr-diploma-commerciality,£396,business-management
22,Management Skills Training - Classroom,https://www.e-careers.com/courses/management-skills-training-classroom,"  From £1,595",business-management
23,Management Skills Training - LiveOnline,https://www.e-careers.com/courses/management-skills-training-liveonline,"  From £1,595",business-management
24,Personal Finance & Budgeting,https://www.e-careers.com/courses/personal-finance-budgeting,£33,business-management
25,Personal Skills for Professional Excellence - Classroom,https://www.e-careers.com/courses/personal-skills-for-professional-excellence-classroom,"  From £1,595",business-management
26,Personal Skills for Professional Excellence - LiveOnline,https://www.e-careers.com/courses/personal-skills-for-professional-excellence-liveonline,"  From £1,595",business-management
27,Salesforce - Training Course,https://www.e-careers.com/courses/salesforce-training-course,£125,business-management
28,Strategic Planning and Implementation - Classroom,https://www.e-careers.com/courses/strategic-planning-and-implementation-classroom,"  From £1,595",business-management
29,"Stress Awareness, Management and Well-being",https://www.e-careers.com/courses/stress-awareness-management-and-well-being,£25,business-management
30,Supporting Remote Teams,https://www.e-careers.com/courses/supporting-remote-teams,£75,business-management
31,Time Management Essentials - Classroom,https://www.e-careers.com/courses/time-management-essentials-classroom,  From £550,business-management
32,Time Management Essentials - LiveOnline,https://www.e-careers.com/courses/time-management-essentials-liveonline,  From £550,business-management
33,Time Management Training - Classroom,https://www.e-careers.com/courses/time-management-training-classroom,  From £995,business-management
34,Time Management Training - LiveOnline,https://www.e-careers.com/courses/time-management-training-liveonline,  From £995,business-management
